ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
SUN,"Sun Valley/Hailey/Ketchum, ID",SLC,"Salt Lake City, UT"
SUN,"Sun Valley/Hailey/Ketchum, ID",LAX,"Los Angeles, CA"
SUN,"Sun Valley/Hailey/Ketchum, ID",SFO,"San Francisco, CA"
SUN,"Sun Valley/Hailey/Ketchum, ID",SLC,"Salt Lake City, UT"
SUN,"Sun Valley/Hailey/Ketchum, ID",BJC,"Broomfield, CO"
SUN,"Sun Valley/Hailey/Ketchum, ID",BFI,"Seattle, WA"
SUN,"Sun Valley/Hailey/Ketchum, ID",C01,"Camarillo, CA"
SUN,"Sun Valley/Hailey/Ketchum, ID",SNA,"Santa Ana, CA"
SUN,"Sun Valley/Hailey/Ketchum, ID",PAE,"Everett, WA"
SUN,"Sun Valley/Hailey/Ketchum, ID",SIT,"Sitka, AK"
SUN,"Sun Valley/Hailey/Ketchum, ID",BOI,"Boise, ID"
SUN,"Sun Valley/Hailey/Ketchum, ID",SBA,"Santa Barbara, CA"
SUN,"Sun Valley/Hailey/Ketchum, ID",LVK,"Livermore, CA"
SUS,"St. Louis, MO",LRD,"Laredo, TX"
SUS,"St. Louis, MO",YIP,"Detroit, MI"
SUS,"St. Louis, MO",MQY,"Smyrna, TN"
SUU,"Fairfield, CA",HIK,"Honolulu, HI"
SUU,"Fairfield, CA",MCC,"Sacramento, CA"
SUU,"Fairfield, CA",LAX,"Los Angeles, CA"
SUU,"Fairfield, CA",ANC,"Anchorage, AK"
SUX,"Sioux City, IA",ORD,"Chicago, IL"
SUX,"Sioux City, IA",DEN,"Denver, CO"
SUX,"Sioux City, IA",OMA,"Omaha, NE"
SVA,"Savoonga, AK",OME,"Nome, AK"
SVA,"Savoonga, AK",GAM,"Gambell, AK"
SVA,"Savoonga, AK",OME,"Nome, AK"
SVA,"Savoonga, AK",GAM,"Gambell, AK"
SVA,"Savoonga, AK",OME,"Nome, AK"
SVA,"Savoonga, AK",GAM,"Gambell, AK"
SVA,"Savoonga, AK",OME,"Nome, AK"
SVA,"Savoonga, AK",OME,"Nome, AK"
SVA,"Savoonga, AK",GAM,"Gambell, AK"
SVA,"Savoonga, AK",ANC,"Anchorage, AK"
SVA,"Savoonga, AK",UNK,"Unalakleet, AK"
SVA,"Savoonga, AK",OME,"Nome, AK"
SVA,"Savoonga, AK",EMK,"Emmonak, AK"
SVC,"Silver City/Hurley, NM",ABQ,"Albuquerque, NM"
SVC,"Silver City/Hurley, NM",PHX,"Phoenix, AZ"
SVC,"Silver City/Hurley, NM",BRO,"Brownsville, TX"
