airport,page rank
RBD,0.6078604149181798
1OH,0.6007694678616148
DBQ,0.5960023478850817
WA3,0.5956152421752836
EGV,0.588628419599699
HMS,0.5875201218494797
NHZ,0.5869180159749765
HVR,0.5787272018041405
GDV,0.5787272018041405
SDY,0.5787272018041405
OLF,0.5787272018041405
LMT,0.5767478861965152
LYH,0.5755772534881451
WYS,0.5629061050754885
MSS,0.5614864917034897
MQT,0.5603759125415181
WKV,0.5585343522356996
BEH,0.557774171755988
SBM,0.5527375955767345
BIF,0.5527375955767345
SUX,0.535279477857464
QQG,0.532385092576583
MSV,0.532385092576583
ME3,0.532385092576583
LKP,0.532385092576583
AUZ,0.532385092576583
ME2,0.532385092576583
MTP,0.532385092576583
TIW,0.5315249277922361
DEC,0.5214633444333594
MWA,0.5204846274590087
ABR,0.5097751840579674
TX6,0.5062929265836762
MJX,0.5050971866047745
VWD,0.48628479021554005
LWS,0.4852308189611674
LAR,0.4817745158014261
RME,0.47842757967099087
A26,0.4735459605589833
EAT,0.46840922920727474
CDC,0.46470845597555915
PQI,0.4611372059696697
CGF,0.45906947878684323
1B1,0.44906229213441284
UT1,0.44906229213441284
PCT,0.44906229213441284
SWO,0.43769513173463254
ARA,0.43330955830152357
TMB,0.43070466991977696
RWI,0.43070466991977696
WWA,0.4269410616819688
KKU,0.4269410616819688
BKG,0.42516116265713577
EWN,0.4226531229150041
GCC,0.4204274335749701
SMN,0.41886219074198033
PPG,0.41773699393702163
SLN,0.4131225679341354
1AK,0.40921723717495445
CCR,0.40140664519669794
IMT,0.3990638894267706
CNM,0.39093787572203303
FNL,0.390064726784131
MHK,0.38023443928146483
GLH,0.3797450807942895
CEZ,0.3776728926843909
CIU,0.3622108402870505
BRL,0.3601513213186119
ILG,0.35721481666479343
GUC,0.35623624765683526
MSL,0.35393640497471496
APN,0.35174911235791617
CLU,0.3464273797542966
MHM,0.34623606764338244
FWL,0.34623606764338244
VZY,0.34623606764338244
SHD,0.34049513920645874
JST,0.34049513920645874
IWD,0.33696339531921593
CEF,0.33664445703720935
FTW,0.3335597810782964
HII,0.3301846227116461
NYL,0.3301846227116461
OTS,0.3296593821023256
LBL,0.325693828314038
MCE,0.3243644522984673
INT,0.3241797672142711
BJC,0.32292325508277686
TBN,0.32249841834519405
TUP,0.32179502985394653
MWH,0.3206077395781717
MKL,0.3198634897226474
N1Y,0.3195317516913092
MCK,0.3183832426899941
MGW,0.31302657974359466
BFD,0.31302657974359466
DUJ,0.31302657974359466
STC,0.30936085520066714
RBN,0.30228117240505925
HNM,0.3001282796932195
MUE,0.3001282796932195
TNC,0.28751656874906506
VRB,0.28210379047676065
RBG,0.2759023269614957
FLO,0.2665601361379711
TCL,0.262865523642894
TPL,0.2503979621924981
ONP,0.24723820469299193
CLM,0.2364347259430948
OGS,0.23559192283802544
DJN,0.2338302939575394
MA4,0.22324767835357653
BFM,0.21994275683150846
AOO,0.2191604504286644
GED,0.21543627162028298
AIA,0.2126554316279691
CDR,0.2126554316279691
DDC,0.2126554316279691
RIW,0.2126554316279691
VEL,0.2126554316279691
ALS,0.2126554316279691
HYS,0.2126554316279691
CVN,0.2126554316279691
CDL,0.2013356723840236
IRK,0.19883929820386453
JBR,0.19883929820386453
FOD,0.19867852922428617
MCW,0.1963402767492553
BGM,0.1953988138738465
MZJ,0.1920219693954525
IPL,0.1899592890159807
HIB,0.17565137220446853
INL,0.17565137220446853
HYR,0.17565137220446853
BRD,0.17565137220446853
ART,0.17425871423878847
VIS,0.17036997875234697
SOW,0.16516716165522427
DMN,0.16516716165522427
GYR,0.1638020586210963
PYM,0.1625254434951674
MKG,0.16146172371354983
MBL,0.16146172371354983
PAH,0.16146172371354983
CGI,0.16146172371354983
CYS,0.16097236522637448
ZXC,0.15860000109455058
XXY,0.15860000109455058
GA5,0.15734216349908878
OSH,0.15416304876539313
WRI,0.15228858059542263
SUU,0.1516074920566494
FDY,0.1516074920566494
IYK,0.14749103739290537
FWH,0.14609549848026834
MEI,0.14373051662766861
PIB,0.14373051662766861
VCT,0.14373051662766861
HOB,0.14373051662766861
DHN,0.14292607449942235
GDC,0.13801779056194158
EKO,0.1351138030248413
STP,0.13345953927450818
DQG,0.13345953927450818
BIH,0.1284142567436775
MAZ,0.12597967067554317
BQK,0.12117389211758531
AND,0.12117389211758531
MEO,0.12111838717434693
ALW,0.1182922132709486
PUW,0.1182922132709486
NY8,0.11494196001652908
AUG,0.11494196001652908
SUA,0.11404877638053737
FXE,0.1104618033235223
SCF,0.10498709103532067
LEE,0.10359908180159952
IAB,0.09264915189459184
SAA,0.09134139143405182
FHB,0.09108577999788692
IKB,0.09108577999788692
NGU,0.0869362781206638
KS3,0.08641666611026072
MEV,0.08641666611026072
VSF,0.08641578904550248
MT3,0.08410820511928355
CXO,0.0834071806348481
OUN,0.0834071806348481
BWD,0.08126452917426341
VQQ,0.07979823077096589
SLE,0.07798405090082697
PSE,0.07540435016302123
NCO,0.07474437416841921
MPV,0.056964867842072275
MS3,0.05268609115087012
CVO,0.052632018571552544
ASN,0.05082058985429916
ERV,0.049319928632323165
GUF,0.04344326674132292
FL1,0.03695129809223029
HIK,0.02363930418384011
